University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
Ho Chi Minh City University of Technology,HUTECH,10.8501,106.7718,https://vnur.vn/wp-content/uploads/2023/01/35.HUTECH.jpg,74,private,Vietnam,Ho Chi Minh City,35000,1995,8.42854E+11,hutech@hutech.edu.vn,https://www.hutech.edu.vn/english,"Engineering, IT, Business","Ho Chi Minh City University of Technology was founded in 1995 and they are popular for engineering, it and business.",NA,NA,NA,NA,NA,"Automation and Control Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Electronics and Telecommunications Engineering, Environmental Engineering, Food Technology, Industrial Engineering, Information Technology, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Mechatronics Engineering, Petroleum Engineering, Software Engineering, Water Resources Engineering",NA,NA,"Computer Science, Information Technology, Software Engineering, Data Science, Cybersecurity, Artificial Intelligence","Applied Mathematics, Chemistry, Physics",NA,NA,NA
Ho Chi Minh City University of Technology and Education,HCMUTE,10.8504,106.7715,https://vnur.vn/wp-content/uploads/2023/01/28.Su-pham-Ky-thuat-TP.HCM_.jpg,24,public,Vietnam,Ho Chi Minh City,30000,1962,8.42839E+11,ic@hcmute.edu.vn,https://en.hcmute.edu.vn/,"Engineering, Education, IT","Ho Chi Minh City University of Technology and Education was founded in 1962 and they are popular for engineering, education and it.",NA,NA,"Graphic Design, Industrial Design","Business Administration, Logistics and Supply Chain Management, Tourism Management","Early Childhood Education, Primary Education, Secondary Education, Pre-school Education, Pedagogy, Educational Management, Special Education, English Language Teaching, Teaching Vietnamese as a Second Language","Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Automation Engineering, Mechatronics Engineering, Computer Engineering, Software Engineering, Information Technology, Telecommunication Engineering, Electronic Engineering",NA,"English Language and Literature, Vietnamese Language and Literature, History, Geography","Computer Science, Information Systems, Data Science, Artificial Intelligence","Mathematics, Physics, Chemistry, Biology","Psychology, Sociology",NA,NA
Ho Chi Minh City University of Transport,HCMUT,10.7719,106.6571,https://ptc.ut.edu.vn/wp-content/uploads/2023/02/uth_logo_2.png,73,public,Vietnam,Ho Chi Minh City,15000,2001,8.42839E+11,ut-hcmc@ut.edu.vn,https://ut.edu.vn/en/,"Transport Engineering, Logistics",Ho Chi Minh City University of Transport was founded in 2001 and they are popular for transport engineering and logistics.,NA,NA,NA,"Logistics and Supply Chain Management, Business Administration",NA,"Civil Engineering, Transportation Engineering, Automotive Engineering, railway Engineering, Mechanical Engineering, Electrical Engineering, Telecommunication Engineering, Computer Engineering, Automation Engineering, Construction Technology",NA,English,"Information Technology, Computer Science","Mathematics, Physics",NA,NA,"Transportation Safety, Traffic Engineering"
Hong Bang International University,HIU,10.7322,106.7312,https://vnur.vn/wp-content/uploads/2023/01/62.-DH-Quoc-Te-Hong-Bang.jpg,79,private,Vietnam,Ho Chi Minh City,18000,1997,8.42873E+11,info@hiu.vn,https://hiu.vn/en/,"Medicine, Business, Engineering","Hong Bang International University was founded in 1997 and they are popular for medicine, business and engineering.",NA,NA,"Graphic Design, Interior and Exterior Design, Cinema and Television Technology, Fashion Design","Business Administration, Accounting and Auditing, Banking and Finance, Hospitality Management, Tourism Management, Digital Marketing, Economic Law, International Relations, Law",NA,NA,"Dentistry, General Medicine, Traditional Medicine, Pharmacy, Nursing-Midwifery, Physical Therapy and Rehabilitation, Medical Laboratory Science, Biotechnology, Odonto-Stomatology",Teaching English to Speakers of Other Languages (TESOL),"Information Technology, Information Security, Digital Marketing, Multimedia Communication, E-commerce",NA,"International Relations, Cultural Studies","Hospitality Management, Tourism Management, Multimedia Communication, Event Management",NA
Hong Duc University,HDU,20.1294,105.8767,https://vnur.vn/wp-content/uploads/2023/01/24.Hong-Duc.jpg,63,public,Vietnam,Thanh Hoa,10000,1997,8.42374E+11,cict@hdu.edu.vn,https://hdu.edu.vn/,"Engineering, Education, Economics","Hong Duc University was founded in 1997 and they are popular for engineering, education and economics.",NA,"Crop Science, Animal Science, Forestry, Aquaculture, Agricultural Economics",NA,"Accounting, Business Administration, Finance and Banking, Economics, Marketing, International Relations, Law, Investment Economics","Early Childhood Education, Primary Education, Secondary Education, Special Education, Educational Administration, Mathematics Pedagogy, Physics Pedagogy, Chemistry Pedagogy, Biology Pedagogy, Literature Pedagogy, History Pedagogy, Sociology Education, International Relations Education, English Teacher Education, Pre-school Education, Physical Education, Sports Coaching, Sports Management","Information Technology, Electrical Engineering, Civil Engineering, Mechanical Engineering, Construction Engineering, Electronics and Telecommunications Engineering",NA,"Vietnamese Studies, History, Sociology, Literature, Journalism and Communication, English Language, Chinese Language, French Language",NA,"Mathematics, Physics, Chemistry, Biology, Environmental Science, Applied Chemistry","Sociology, International Relations, Sports Management, Sports Coaching",Tourism and Hospitality Management,NA
Hue University,HU,16.4652,107.5901,https://vnur.vn/wp-content/uploads/2023/01/10.Hue_.jpg,11,public,Vietnam,Hue,50000,1994,8.42344E+11,office@hueuni.edu.vn,https://hueuni.edu.vn/portal/en/,"Medicine, Agriculture, Education, Social Sciences","Hue University was founded in 1994 and they are popular for medicine, agriculture, education and social sciences.",NA,"Agronomy, Animal Husbandry, Aquaculture, Agricultural Economics, Rural Development, Forestry, Veterinary Science","Fine Art, Applied Art, Painting, Interior Design, Music, Drama and Performance","Business Administration, Economics, Finance and Banking, Accounting, Marketing, International Business, Tourism and Hospitality Management, Law, Administrative Law","Primary Education, Secondary Education, Special Education, Educational Psychology, Physical Education, Mathematics Teaching, Physics Teaching, Chemistry Teaching, Biology Teaching","Construction Engineering, Electrical Engineering, Environmental Engineering, Surveying and Mapping, Architecture, Engineering Technology","Medicine, Pharmacy, Public Health, Nursing, Dentistry, Medical Technology, Medical Imaging","English Language, French Language, Chinese Language, Japanese Language, International Studies, Russian Language, American Studies","Computer Science, Information Technology, Cybersecurity and Data Science","Mathematics, Physics, Chemistry, Biology, Environmental Science","Social Work, Sociology, Journalism and Mass Communication, Political Theory",Tourism and Hospitality Management,NA
Hung Yen University of Technology and Education,HYUTE,20.6469,106.0512,https://vnur.vn/wp-content/uploads/2023/01/23.Su-pham-Ky-thuat-Hung-Yen.png,60,public,Vietnam,Hung Yen,10000,2003,8.42214E+11,huuhop78@gmail.com,https://upm.vn/university/16,"Engineering, Education",Hung Yen University of Technology and Education was founded in 2003 and they are popular for engineering and education.,NA,NA,NA,NA,"Primary Education, Pre-school Education, Kindergarten Education, Secondary Education, Educational Management, Physical Education, Foreign Language Teaching, Teaching Technology","Mechanical Engineering, Electrical Engineering, Civil Engineering, Computer Engineering, Automation Engineering, Mechatronics Engineering, Information Technology, Electronics and Telecommunications",NA,"Vietnamese Language and Literature, English Language and Literature, History, Geography","Software Engineering, Computer Science, Data Science, Network Engineering, Cybersecurity","Mathematics, Physics, Chemistry, Biology","Psychology, Sociology",NA,NA
Industrial University of Ho Chi Minh City,IUH,10.8226,106.6882,https://vnur.vn/wp-content/uploads/2023/01/11.Cong-nghiep-TP.HCM_.jpg,21,public,Vietnam,Ho Chi Minh City,26000,1956,8.4284E+11,phongdaotao@iuh.edu.vn,https://iuh.edu.vn/en,"Engineering, Technology, Business","Industrial University of Ho Chi Minh City was founded in 1956 and they are popular for engineering, technology and business.",NA,NA,Graphic Design,"International Business, E-commerce, Business Administration, Accounting, Finance and Banking, Auditing, Logistics and Supply Chain Management, Hotel Management, Tourism and Travel Service Management, Restaurant and Catering Management, Economic Law",NA,"Chemical Engineering, Electrical and Electronic Engineering Technology, Electronics and Telecommunications Engineering Technology, Automotive—Thermal Engineering Technology, Mechanical Engineering Technology, Mechatronic Engineering Technology, Food Engineering Technology, Garment Technology, Industrial Power, Construction Engineering, Civil Engineering, Food Safety and Quality Assurance","Nursing, Pharmacy, Beauty Care ",NA,"Information Technology, Information Systems, Computer Engineering Technology, Computer Science, Network Administration, Cybersecurity, Automation and Control Engineering Technology, Software Engineering Technology",NA,NA,NA,NA
Kien Giang University,KGU,10.0167,105.0833,https://www.vnkgu.edu.vn/public/images/logo.png,100,public,Vietnam,Kien Giang,6000,2014,8.42974E+11,mail.vnkgu.edu.vn,https://vnkgu.edu.vn/en/,"Agriculture, Education, Business","Kien Giang University was founded in 2014 and they are popular for agriculture, education and business.",NA,"Aquaculture, Crop Science, Breeding, Agricultural Business",NA,"Accounting, Business Administration, Law, Banking and Finance, International Economics",NA,"Civil Construction Engineering, Control and Automation Engineering, Food Technology, Environmental Technology, Automotive Engineering",NA,"English Language, Vietnamese Language and Culture","Information Technology, Biotechnology",NA,NA,Tourism,NA
Nam Dinh University of Nursing,NDUN,20.2575,106.1785,https://upload.wikimedia.org/wikipedia/vi/thumb/8/87/Logo_NDUN.png/110px-Logo_NDUN.png,98,public,Vietnam,Nam Dinh,4000,1960,8.42284E+11,dieuduong@ndun.edu.vn,https://ndun.edu.vn/home.html/en,"Nursing, Public Health",Nam Dinh University of Nursing was founded in 1960 and they are popular for nursing and public health.,NA,NA,NA,NA,NA,NA,"Nursing, Midwifery, Medical Technology, Pharmacy",NA,NA,NA,NA,NA,NA
National Academy of Education Management,NAEM,20.9956,105.8002,https://upload.wikimedia.org/wikipedia/vi/f/fa/Hoc_vien_QuanLyGiaoDuc.jpg,66,Academy,Vietnam,Hanoi,3000,1993,8.42439E+11,hvqlgd@moet.edu.vn,https://naeducation.org/,"Education Management, Pedagogy",National Academy of Education Management was founded in 1993 and they are popular for education management and pedagogy.,NA,NA,NA,"Business Administration, Business Administration",Education,NA,NA,NA,NA,NA,NA,NA,NA
National Academy of Public Administration,NAPA,21.0164,105.8017,https://vnur.vn/wp-content/uploads/2024/01/hc-logo-63a3b.webp,62,Academy,Vietnam,Hanoi,20000,1959,8.48244E+12,icd.napa@napa.vn,https://napawash.org/,"Public Administration, Political Science",National Academy of Public Administration was founded in 1959 and they are popular for public administration and political science.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public Administration, Public Policy",NA,NA
National Economics University,NEU,20.9985,105.8097,https://vnur.vn/wp-content/uploads/2023/01/21.Kinh-te-Quoc-dan.jpg,15,public,Vietnam,Hanoi,25000,1956,8436280280,cnttkt@neu.edu.vn,https://en.neu.edu.vn/,"Economics, Business, Finance, Management","National Economics University was founded in 1956 and they are popular for economics, business, finance and management.",NA,NA,NA,"Finance and Banking, Accounting, Auditing, International Economics, Economics, Business Administration, Law",NA,NA,NA,NA,NA,NA,Social Science,NA,NA
Nguyen Tat Thanh University,NTTU,10.7628,106.7049,https://vnur.vn/wp-content/uploads/2023/01/19.Nguyen-Tat-Thanh.jpg,17,private,Vietnam,Ho Chi Minh City,30000,1999,84902298300,ntt@ntt.edu.vn,https://ntt.edu.vn/en/,"Business, Engineering, Medicine, IT","Nguyen Tat Thanh University was founded in 1999 and they are popular for business, engineering, medicine and it.",NA,NA,"Graphic Design, Industrial Design, Fashion Design","Business Administration, Accounting, Finance and Banking, International Business, Logistics and Supply Chain Management, Marketing, Tourism Management, E-commerce, Law","Early Childhood Education, Primary Education, Secondary Education, English Language Teaching","Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics - Telecommunications Engineering, Computer Engineering, Automation Engineering, Environmental Engineering, Food Technology, Mechatronics Engineering",NA,"Vietnamese Language and Literature, English Language and Literature, Translation","Information Technology, Software Engineering, Data Science, Cybersecurity, Network Engineering","Mathematics, Physics, Chemistry, Biology","Psychology, Sociology",NA,NA
Nha Trang University,NTU,12.2493,109.1958,https://upload.wikimedia.org/wikipedia/commons/c/c1/Nha_Trang_University_Seal.png,46,public,Vietnam,Nha Trang,17200,1959,8.42584E+11,daotao@ntu.edu.vn,https://en.ntu.edu.vn/,"Fisheries, Marine Science, Economics","Nha Trang University was founded in 1959 and they are popular for fisheries, marine science and economics.",NA,"Fisheries Science, Fisheries Management, Aquaculture, Biotechnology",NA,"Management Information Systems, Tourism and Travel Service Management, Hospitality Management, Business Administration, Marketing, Commercial Business, Finance and Banking, Financial Technology, Accounting, Auditing, Economics, Fisheries Economics, Economic Management, Development Economics, Law",NA,"Environmental Engineering, Chemical Engineering, Mechanical Engineering, Manufacturing Technology, Mechatronic Engineering, Thermal Engineering, Nautical Science, Naval Architecture and Marine Engineering, Automotive Engineering, Electrical Engineering, Control Engineering and Automation, Civil Engineering, Transport Construction Engineering, Information Technology, Computer Science, Fisheries-Related Engineering",NA,English Linguistics,"Information Technology,Software Engineering, Information Systems, Networking, Computer Science",Biotechnology,NA,NA,NA
